Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Vesna,ресторанный комплекс,Рестораны; Банкетные залы,"улица Хасана Туфана, 25",,420039,,Московский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.8,1190,89050254408 (отдел брони столов),89179280770 (банкетный менеджер),,,,http://rk-vesna.ru/,,,,https://wa.me/79050254408,,,https://t.me/+79179280770,,,55.837993,49.069048,https://2gis.com/firm/2956015536441180,branch
vetra bistro,бистро,Рестораны; Кафе,"улица Сибгата Хакима, 62",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 07:30-21:00; Вс: 07:30-21:00,+03:00,4.0,20,89172674797,,,,,http://t.me/vetrabistro,,,,,,,https://t.me/vetra_bistro,,,55.815596,49.144478,https://2gis.com/firm/70000001104023483,branch
Vio,гастробар,Рестораны; Бары,"улица Сибгата Хакима, 62",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,21,89320219191,,,,,http://vio-rest.ru/?utm_source=2gis&utm_medium=maps,,,,https://wa.me/79320219191,,,https://t.me/+79320219191,,,55.815555,49.145085,https://2gis.com/firm/70000001103790915,branch
Virid Yard,ресторан,Рестораны; Доставка еды,"улица Волкова, 59",1 этаж,420012,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.8,129,88432901166,,,,,http://viridyard.com,http://r.cubic.rest/w/f8a78F43,http://t.me/viridyard,https://vk.com/viridyard,https://wa.me/79869000450,,,https://t.me/+79869000450,,,55.787395,49.143574,https://2gis.com/firm/70000001027008283,branch
Wine me,бар,Рестораны; Доставка еды; Бары,"улица Чернышевского, 19",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.7,101,89625711060,,,,,,,,https://vk.com/winemekazan,,,,https://t.me/winemekazan,,,55.792141,49.10946,https://2gis.com/firm/70000001040223066,branch
Zero,коктейльный бар,Рестораны; Бары; Ночные клубы,"улица Мусы Джалиля, 19",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Ср: 18:00-02:00; Чт: 18:00-02:00; Пт: 19:00-05:00; Сб: 19:00-05:00; Вс: 18:00-02:00,+03:00,4.5,242,89534063459,,,,,,,,,,,,,,,55.792883,49.112964,https://2gis.com/firm/70000001041855907,branch
Zoloto,ресторан-караоке,Рестораны; Ночные клубы; Караоке-залы; Бары; Банкетные залы,"улица Пушкина, 29а",цокольный этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Ср: 18:00-06:00; Чт: 18:00-06:00; Пт: 18:00-06:00; Сб: 18:00-06:00,+03:00,4.8,198,89093141689,,,bivenshima2017@yandex.ru,,http://zolotokzn.ru,,,https://vk.com/club229190468,,,,,,,55.79256,49.124401,https://2gis.com/firm/70000001097248325,branch
Zuka,ресторан паназиатской кухни,Рестораны,"улица Николая Столбова, 1/3",1 этаж,420021,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (по предварительной записи),+03:00,4.1,194,89274809404,,,,,,,,,https://wa.me/79274809404,,,,,,55.785659,49.114076,https://2gis.com/firm/70000001053864994,branch
Авылым,ресторан татарской национальной кухни,Рестораны,"Федосеевская улица, 1",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.0,215,89395059933,,,,,,,,,,,,,,,55.802398,49.108393,https://2gis.com/firm/70000001052461081,branch
Азия-Базар,ресторан,Рестораны; Доставка еды; Кафе; Банкетные залы,"улица Максимова, 4Б",2 этаж,420127,,Авиастроительный район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.8,421,88432121828,,,,,http://azia-bazar.ru,http://t.me/makifamilykazan,,https://vk.com/asia_bazar_kzn,https://wa.me/79046658589,,viber://chat/?number=79046658589,,,,55.860448,49.097727,https://2gis.com/firm/70000001044712390,branch
Ак Чынаяк,,Рестораны,"территория Кремля, 12",1 этаж,420014,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+03:00,4.7,40,88435059595,,,,,http://finegroup.rest,,,,,,,,,,55.798312,49.106023,https://2gis.com/firm/70000001102816239,branch
Алмуш,,Рестораны,"территория Кремля, 5",1 этаж; 3 подъезд,420014,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,2,88435907777,,,almushrest@yandex.ru,,http://almushrest.ru,,,https://vk.com/almush_rest,,,,,,,55.798393,49.106804,https://2gis.com/firm/70000001114726202,branch
Аль фахир,ресторан,Рестораны; Доставка еды; Бары; Караоке-залы,"улица Лейтенанта Шмидта, 1",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-02:00,+03:00,4.8,730,88432537979,89033887979,,,,http://alfahir.ru,http://альфахир.рф,,https://vk.com/al_fahir,https://wa.me/79033887979,,,,,,55.790423,49.148143,https://2gis.com/firm/2956015536715614,branch
Американский бар и гриль,,Рестораны,"Выставочная улица, 1",терминал 1А; 2 этаж,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.9,123,89032973067,89655972105,,,,,,,,,,,,,,55.612463,49.299913,https://2gis.com/firm/70000001063116358,branch
Американский бар и гриль,,Рестораны,"Аэропорт, терминал 1А",2 этаж,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,489,89032973067,,,,,,,,,,,,,,,55.607717,49.299502,https://2gis.com/firm/70000001029511727,branch
Артель,бистро,Рестораны; Доставка еды,"улица Муштари, 18",1 этаж,420012,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.2,296,88435050020,,,,,http://bistroartel.ru/main,http://taplink.cc/artelbistro,,https://vk.com/artelbistro,https://wa.me/79395050020,,,https://t.me/artel_bistro,,,55.791995,49.134859,https://2gis.com/firm/70000001038953082,branch
Атмосфера,ресторан,Рестораны; Банкетные залы,"улица Чернышевского, 39",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,"Пн: 07:00-11:00, 12:00-22:00; Вт: 07:00-11:00, 12:00-22:00; Ср: 07:00-11:00, 12:00-22:00; Чт: 07:00-11:00, 12:00-22:00; Пт: 07:00-11:00, 12:00-22:00; Сб: 07:00-11:00, 12:00-22:00; Вс: 07:00-11:00, 12:00-22:00 (технический перерыв: пн-вс 16:00-17:00)",+03:00,4.5,29,88432943333,,,,,http://www.ramadakazan.com,,,,https://wa.me/79274239999,,,,,,55.789064,49.10471,https://2gis.com/firm/2956016536728013,branch
Атриум,ресторан,Рестораны,"улица Островского, 26",3 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.8,16,88432000900,88432000962,,,,,,,,https://wa.me/79178714105,,,,,,55.787147,49.117891,https://2gis.com/firm/70000001066371762,branch
База,ресторан,Рестораны; Доставка еды,"Спартаковская улица, 2Б",1 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.7,305,88432502425,89662502425,,,,http://bazakazan.ru/,,,https://vk.com/bazawinline,https://wa.me/79662502425,,,https://t.me/bazakazanrest,https://t.me/+79662502425,,55.77937,49.128926,https://2gis.com/firm/70000001023437349,branch
Бакинский дворик,ресторан,Рестораны; Доставка еды,"проспект Ямашева, 92а",цокольный этаж,420133,27-й квартал,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,248,88435153048,,,,,,,,https://vk.com/dvorikbakinskiy,https://wa.me/79377778707,,,,,,55.827545,49.148261,https://2gis.com/firm/2956015536746591,branch
Бакинский дворик,ресторан,Рестораны; Доставка еды,"Гвардейская улица, 40",1 этаж,420073,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 12:00-23:00,+03:00,3.9,162,88432956903,,,,,http://kazan.leclick.ru/restaurant/bakinskiy-dvorik-kazan,,,https://vk.com/club178554409,,,,,,,55.781459,49.170376,https://2gis.com/firm/2956015536584325,branch
Балканский гурман,ресторан балканско-сербской кухни,Рестораны; Банкетные залы; Бары,"улица Бурхана Шахиди, 11/16",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.8,212,89655828585,,,,,http://balkan-gurman.ru/,,,,https://wa.me/79655828585,,,https://t.me/+79655828585,,,55.787365,49.104841,https://2gis.com/firm/70000001065104739,branch
Барто,семейный ресторан,Рестораны; Доставка еды; Банкетные залы,"Ново-Давликеевская улица, 2ж",2 этаж,420055,Мирный м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,4.8,392,89178806080,,,,,http://barto.rest,,,,https://wa.me/79178806080,,,,,,55.711364,49.147665,https://2gis.com/firm/70000001076508296,branch
Бахча,восточный ресторан,Рестораны; Кафе,"Свияжские Холмы, 4",2 этаж,422595,,,,Верхнеуслонский район,Республика Татарстан,Россия,Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.5,6,88432216611,,,,,http://sviyaga-hills.com,http://t.me/svhills,,https://vk.com/skikazan,,,,,,,55.728585,48.723031,https://2gis.com/firm/70000001034706472,branch
Белуга,ресторан азербайджанской и европейской кухни,Рестораны; Доставка еды; Кафе,"улица Девятаева, 3",,420108,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.5,336,88432591416,89625591416,,,,http://beluga-restoran.ru,,,https://vk.com/belugarestoran,https://wa.me/79625591416,,,https://t.me/belugakazan,,,55.77296,49.093378,https://2gis.com/firm/70000001025815671,branch
Беседка на Волге,,Рестораны; Аренда беседок; Организация праздников; Банкетные залы; Беседки,,,422526,,,,Зеленодольский район,Республика Татарстан,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.9,30,89370000188,,,,,http://stoly1.github.io/Besedka_na_Volge.github.io/,http://t.me/besedkanavolge,,,https://wa.me/79370000188,,,https://t.me/besedkanavolge,,,55.821043,48.776846,https://2gis.com/firm/70000001078984162,branch
Биляр,ресторан с национальной кухней и банкетный зал,Рестораны; Банкетные залы; Бары,"улица Островского, 61",1-2 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.3,16,89872251775 (банкетный зал),88435673377 (ресторан),89172756873 (ресторан),info@bilyar-rest.ru,,http://bilyar-rest.ru,http://t.me/bilyar_hotel,,https://vk.com/bilyar_palace_hotel,,,,https://t.me/BilyarPalaceHotel,,,55.784024,49.124968,https://2gis.com/firm/70000001066366714,branch
Бинхартс кофе,ресторан,Рестораны; Кафе; Доставка еды,"улица Баумана, 44",1-2 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.7,1671,89093117987,89093117944,,,,http://beanhearts.ru,,,https://vk.com/beanhearts,,,,https://t.me/beanhearts_coffee,,,55.791824,49.112214,https://2gis.com/firm/70000001049033828,branch
Бинхартс кофе,ресторан,Рестораны; Доставка еды,"Чистопольская улица, 11",1 этаж,420066,Перспектива м-н,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00 (служба доставки: пн-вс 10:00-22:00),+03:00,4.8,1634,89093118031,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts,,,,https://t.me/beanhearts_coffee,,,55.819695,49.107424,https://2gis.com/firm/70000001039072310,branch
Бинхартс кофе,ресторан,Рестораны; Доставка еды,"улица Пушкина, 13",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.9,1513,89093117987,,,,,http://beanhearts.ru,,,https://vk.com/beanhearts,,,,https://t.me/beanhearts_coffee,,,55.787852,49.122666,https://2gis.com/firm/70000001029175584,branch
Бирхаус,пивной ресторан,Рестораны; Доставка еды; Банкетные залы; Бары; Интересные здания,"Астрономическая улица, 10",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.9,485,88432600824,89662600824,,,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fbeerhouse-kazan.ru%2F&back=https%3A%2F%2F2gis.ru%2Fkazan%2Ffirm%2F2956015536444550%3Fimmersive%3Don&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Ft.me%2Fb_house_kazan&back=https%3A%2F%2F2gis.ru%2Fkazan%2Ffirm%2F2956015536444550&mode=0   ,,,https://wa.me/79662600824,,,https://t.me/79662600824,https://t.me/b_house_kazan,,55.789226,49.116133,https://2gis.com/firm/2956015536444550,branch
Бирштрассе,ресторан-пивоварня,Рестораны; Бары,"Профсоюзная улица, 16Б",цокольный этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 14:00-23:00,+03:00,4.7,313,88432947041,,,,,http://бирштрассе.рф,,,https://vk.com/beershtrasse,,,,https://t.me/beershtrasse_kazan,,,55.791325,49.114846,https://2gis.com/firm/70000001046543254,branch
Брассерия,ресторан,Рестораны; Караоке-залы; Банкетные залы; Бары,"переулок Дуслык, 8","1, 2 этаж",420025,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.7,467,88432225555,,,,,http://www.brasserie-kazan.ru,,,https://vk.com/club75226876,https://wa.me/79372838799,,,,,,55.79302,49.229869,https://2gis.com/firm/70000001007115540,branch
Бурбон,ресторан,Рестораны; Бары; Банкетные залы,"Кремлёвская улица, 10",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,271,88432270685,,,burbon.restoran@gmail.com,,http://bourbon.rest,,,https://vk.com/bourbonkazan,,,,,,,55.793037,49.116927,https://2gis.com/firm/2956015537352064,branch
Вишня золотая,ресторан,Рестораны; Бары; Доставка еды; Интересные здания,"улица Ульянова-Ленина, 65/1",,420012,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,4.5,100,88432588212,89600488212,,,,http://taplink.cc/vishnyazolotaya,,,,https://wa.me/79600488212,,,,,,55.787349,49.137728,https://2gis.com/firm/70000001075104195,branch
Волга,ресторан,Рестораны,"улица Саид-Галеева, 1",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,"Пн: 07:00-16:00, 17:00-21:00; Вт: 07:00-16:00, 17:00-21:00; Ср: 07:00-16:00, 17:00-21:00; Чт: 07:00-16:00, 17:00-21:00; Пт: 07:00-16:00, 17:00-21:00; Сб: 07:00-16:00, 17:00-21:00; Вс: 07:00-16:00, 17:00-21:00",+03:00,3.7,10,88432927225,,,,,http://volga-hotel.ru/restoran-volga,,,https://vk.com/volgahotelkazan,https://wa.me/79872972160,,,,,,55.793271,49.097189,https://2gis.com/firm/70000001035997549,branch
Гавань,рестобар,Рестораны; Бары,"2-я Старо-Аракчинская улица, 11Б к1",,420079,,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-02:00; Сб: 09:00-02:00; Вс: 09:00-24:00,+03:00,4.8,1008,88432109437,,,gavan.restobar@gmail.com,,http://gavan-ville.ru,,,https://vk.com/restobar_gavan,,,,https://t.me/restobargavan,,https://youtube.com/@Gavankzn,55.800447,48.967907,https://2gis.com/firm/70000001069174585,branch
Гагар-inn,ресторан,Рестораны; Доставка еды,"улица Короленко, 54а",1 этаж,420094,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,7,88435247071 (ресторан),88432265676,,,,http://gagar-inn.ru,,,https://vk.com/club85605220,https://wa.me/79872265676,,,https://t.me/+79872265676,,,55.840624,49.102783,https://2gis.com/firm/70000001066369762,branch
Галәм,гастробар,Рестораны; Бары,"улица Алексея Козина, 2",,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,4.7,16,88432495569,,,,,,,,,,,,https://t.me/+79370066195,,,55.813289,49.134733,https://2gis.com/firm/70000001113517755,branch
Гамарджоба,ресторан,Рестораны; Доставка еды,"проспект Ямашева, 46",2 этаж,420124,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.5,1487,89270300843,,,,,http://gamardzhoba.ru,,,https://vk.com/gamardgoba7,https://wa.me/79270300843,,viber://chat/?number=79270300843,https://t.me/+79270300843,,,55.829121,49.117815,https://2gis.com/firm/70000001040859146,branch
Гивико,ресторан,Рестораны; Доставка еды,"проспект Ямашева, 33",1 этаж,420066,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.8,1449,88432252020,,,,,http://giviko-kzn.ru,,,https://vk.com/givikokazan,,,,,,,55.826371,49.107388,https://2gis.com/firm/70000001040025520,branch
Гини,ресторан,Рестораны; Кафе; Бары,"Пионерская улица, 8Б",1 этаж,420029,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00,+03:00,4.9,42,88432954626,,,,,,,,,,,,,,,55.805657,49.185868,https://2gis.com/firm/70000001054316567,branch
Гольфстрим,халяль-ресторан,Рестораны,"2-я Азинская улица, 1г",1 этаж,420088,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+03:00,3.6,7,88432791130,,,,,http://www.g-hotel.ru/restaurant,,,,,,,,,,55.804412,49.204505,https://2gis.com/firm/2956015536450627,branch
Горыныч,ресторан,Рестораны,"улица Николая Ершова, 62",1 этаж; 1 уровень,420061,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+03:00,4.4,492,88432254444,,,,,http://kzn.gorynich.com/?utm_source=2Gis&utm_medium=geo&utm_campaign=contacts,http://t.me/gorynichrest,,https://vk.com/gorynich_kzn,https://wa.me/79046601344,,,https://t.me/gorynichrest,,,55.796311,49.175604,https://2gis.com/firm/70000001094282645,branch
Гречанка,ресторан,Рестораны,"улица Николая Ершова, 62",,420061,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,3,89003275460,88432105407,,,,,,,,,,,https://t.me/+79003275460,,,55.796637,49.1775,https://2gis.com/firm/70000001115603807,branch
Гречанка,ресторан,Рестораны,"улица Сибгата Хакима, 62",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.8,129,88432555177,,,,,,,,,,,,,,,55.815597,49.143059,https://2gis.com/firm/70000001110108455,branch
Греческая Таверна by bigvava,ресторан,Рестораны; Кафе; Доставка еды,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,743,89274232727,,,,,http://греческаятаверна.рф,,,https://vk.com/grecheskayatavernakzn,https://wa.me/79274232727,,,,,,55.780859,49.213414,https://2gis.com/firm/70000001066383654,branch
Гриль Босс,гастробар,Рестораны; Кафе; Доставка еды; Бары,"Университетская улица, 5",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.9,1204,89870070016,,,grillboss16@gmail.com,,http://grillboss.ru/ru,,,https://vk.com/grillboss,https://wa.me/79870070016,,,https://t.me/+79870070016,,https://youtube.com/@grillboss_kzn,55.787096,49.118715,https://2gis.com/firm/70000001075164577,branch
Грузинские Истории,ресторан счастливой кухни,Рестораны; Доставка еды,"улица Баумана, 54",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,5.0,7563,88432052205,,,gi.baumana@atalar.group,,http://kazan.hh.ru/employer/10342452,http://gruzinskieistorii.ru,,https://vk.com/gruzinskie_istorii_kzn,,,,https://t.me/gruzinykazan,,,55.790701,49.114556,https://2gis.com/firm/70000001088736973,branch
